file_ref,file_dis,dmos
UGC0097_720x1280_30_crf_00.mp4,UGC0097_720x1280_30_crf_00.mp4,5.0000
UGC0097_720x1280_30_crf_00.mp4,UGC0097_720x1280_30_crf_17.mp4,4.4167
UGC0097_720x1280_30_crf_00.mp4,UGC0097_720x1280_30_crf_22.mp4,5.0278
UGC0097_720x1280_30_crf_00.mp4,UGC0097_720x1280_30_crf_27.mp4,4.3333
UGC0097_720x1280_30_crf_00.mp4,UGC0097_720x1280_30_crf_32.mp4,4.1389
UGC0097_720x1280_30_crf_00.mp4,UGC0097_720x1280_30_crf_37.mp4,4.0000
UGC0097_720x1280_30_crf_00.mp4,UGC0097_720x1280_30_crf_42.mp4,3.4444
UGC0097_720x1280_30_crf_00.mp4,UGC0097_720x1280_30_crf_47.mp4,1.3056
UGC0209_720x1280_30_crf_00.mp4,UGC0209_720x1280_30_crf_00.mp4,5.0000
UGC0209_720x1280_30_crf_00.mp4,UGC0209_720x1280_30_crf_17.mp4,4.5278
UGC0209_720x1280_30_crf_00.mp4,UGC0209_720x1280_30_crf_22.mp4,4.5556
UGC0209_720x1280_30_crf_00.mp4,UGC0209_720x1280_30_crf_27.mp4,4.4444
UGC0209_720x1280_30_crf_00.mp4,UGC0209_720x1280_30_crf_32.mp4,4.0556
UGC0209_720x1280_30_crf_00.mp4,UGC0209_720x1280_30_crf_37.mp4,2.7500
UGC0209_720x1280_30_crf_00.mp4,UGC0209_720x1280_30_crf_42.mp4,1.6667
UGC0209_720x1280_30_crf_00.mp4,UGC0209_720x1280_30_crf_47.mp4,1.1944
UGC0442_720x1280_30_crf_00.mp4,UGC0442_720x1280_30_crf_00.mp4,5.0000
UGC0442_720x1280_30_crf_00.mp4,UGC0442_720x1280_30_crf_17.mp4,4.6111
UGC0442_720x1280_30_crf_00.mp4,UGC0442_720x1280_30_crf_22.mp4,4.9444
UGC0442_720x1280_30_crf_00.mp4,UGC0442_720x1280_30_crf_27.mp4,4.1111
UGC0442_720x1280_30_crf_00.mp4,UGC0442_720x1280_30_crf_32.mp4,4.0278
UGC0442_720x1280_30_crf_00.mp4,UGC0442_720x1280_30_crf_37.mp4,3.1111
UGC0442_720x1280_30_crf_00.mp4,UGC0442_720x1280_30_crf_42.mp4,2.2500
UGC0442_720x1280_30_crf_00.mp4,UGC0442_720x1280_30_crf_47.mp4,1.6667
UGC0528_1280x720_30_crf_00.mp4,UGC0528_1280x720_30_crf_00.mp4,5.0000
UGC0528_1280x720_30_crf_00.mp4,UGC0528_1280x720_30_crf_17.mp4,4.5556
UGC0528_1280x720_30_crf_00.mp4,UGC0528_1280x720_30_crf_22.mp4,4.5000
UGC0528_1280x720_30_crf_00.mp4,UGC0528_1280x720_30_crf_27.mp4,4.5278
UGC0528_1280x720_30_crf_00.mp4,UGC0528_1280x720_30_crf_32.mp4,4.3056
UGC0528_1280x720_30_crf_00.mp4,UGC0528_1280x720_30_crf_37.mp4,3.3611
UGC0528_1280x720_30_crf_00.mp4,UGC0528_1280x720_30_crf_42.mp4,2.6111
